Date,MV,SV,VAR,DIA
2017-08-30,4337888.473683288,4335846.388968286,4538743.66774574,2919455.9274569945
2017-08-31,4368932.873579275,4367046.126634937,4573918.399153088,2927323.643152421
2017-09-01,4375926.628025039,4373996.515013115,4580729.660953931,2932657.6876916923
2017-09-05,4353740.8364919005,4351732.412820483,4560882.944925744,2902653.687158288
2017-09-06,4334046.855714929,4331837.599892456,4543158.642761002,2910388.0517402324
2017-09-07,4353617.88396924,4351332.70538224,4563560.284799426,2908521.1361514875
2017-09-08,4351338.985556677,4348877.072421614,4560831.083376349,2910254.7006267505
2017-09-11,4396616.713794843,4394298.40592639,4607212.465233883,2943859.181224163
2017-09-12,4353204.46578167,4350648.554868683,4574316.71517614,2952660.354713962
2017-09-13,4364745.788910263,4362198.718066792,4583946.434739767,2957194.2925723433
2017-09-14,4375181.095012235,4372601.395858853,4593481.891776452,2964661.954927324
2017-09-15,4395349.130344556,4392767.76304257,4613430.063794522,2966395.5194025873
2017-09-18,4412944.821881564,4410333.656846979,4632457.624710799,2975863.4484597947
2017-09-19,4386011.529983125,4383291.489988943,4605294.739910823,2981464.1952260304
2017-09-20,4409168.037874754,4406403.333683289,4624414.628265141,2985731.430857448
2017-09-21,4393274.33183031,4390431.865011683,4608366.781280613,2979997.332977731
2017-09-22,4371472.431015421,4368490.134683591,4586055.856882717,2976396.852913722
2017-09-25,4338427.80372586,4335333.456678538,4554248.006523596,2971329.5106014134
2017-09-26,4331490.735710993,4328384.520886183,4551492.904937892,2969595.9461261504
2017-09-27,4349689.37101761,4346642.676662794,4570120.60432315,2975330.0440058676
2017-09-28,4379091.172372485,4376099.269187539,4599621.169792515,2981730.897452994
2017-09-29,4373321.297012678,4370239.906875559,4596312.47227674,2984664.6219495935
2017-10-02,4400038.526582871,4396968.683513879,4624748.131244572,3003600.480064009
2017-10-03,4415349.772299885,4412280.864025359,4642146.2112921,3016935.5914121885
2017-10-04,4440222.1977778785,4437229.159281098,4670670.604797332,3019202.560341379
2017-10-05,4436498.093144323,4433320.241057872,4663909.813813976,3035604.74729964
2017-10-06,4442330.518097489,4439191.182483698,4670290.048559764,3034404.587278304
2017-10-09,4430760.756816023,4427579.276435515,4657462.504492422,3034137.8850513403
2017-10-10,4433033.314943418,4429802.696926204,4656999.206251338,3043872.5163355116
2017-10-11,4462768.536517222,4459622.209657072,4682936.038802075,3048539.805307375
2017-10-12,4452163.5587447155,4448969.783464938,4673414.879930126,3044805.9741298845
2017-10-13,4455310.814254006,4452146.233277794,4677578.352358329,3050140.018669156
2017-10-16,4459656.97165075,4456533.0226509515,4684241.256311974,3059741.298839845
2017-10-17,4562711.589885351,4560132.347004763,4790639.0132049145,3065075.3433791175
2017-10-18,4581967.297757444,4579415.4206986185,4810730.933287067,3086544.872649687
2017-10-19,4566537.17101694,4563981.7071418995,4796187.621067515,3089078.543805841
2017-10-20,4619674.015560459,4617173.635692791,4850305.352316118,3108814.508601147
2017-10-23,4596508.695935748,4593944.037836214,4832842.288755472,3102413.655154021
2017-10-24,4637281.2898398,4634595.06083083,4884746.468914723,3124283.2377650356
2017-10-25,4608040.900335403,4605473.552987079,4858089.158223737,3109214.5619415925
2017-10-26,4624453.731950449,4621851.146676681,4874280.502073291,3118415.7887718366
2017-10-27,4660024.219759212,4657631.86598425,4927761.569292471,3122683.024403254
2017-10-30,4635066.789901182,4632589.998468475,4893922.351270462,3111481.530870783
2017-10-31,4640581.9254019875,4638133.673810863,4897572.604225005,3115482.064275237
2017-11-01,4635120.023735903,4632663.002162878,4894518.334387664,3122949.7266302174
2017-11-02,4673257.371995344,4670951.7205379475,4930454.101593643,3133217.7623683163
2017-11-03,4693751.262718616,4691439.643897509,4950761.405784957,3136151.4868649156
2017-11-06,4701150.8618693855,4698791.351259467,4956643.3237947365,3139218.562474997
2017-11-07,4720173.186795522,4717838.330449955,4974619.999846811,3139351.9135884787
2017-11-08,4701539.679859637,4699120.502661583,4953236.656647841,3139885.318042406
2017-11-09,4676065.042174783,4673715.923875096,4928730.66001252,3130017.3356447527
2017-11-10,4658725.862330766,4656328.590652882,4914884.873130117,3126150.153353781
2017-11-13,4688677.063323478,4686268.24034012,4943865.183955916,3129217.228963862
2017-11-14,4683192.635275584,4680628.547904307,4941342.760483815,3124149.8866515537
